id,title,synopsis,poster_url,poster_path,genre,label
tt0311448,Lives No Longer Ours,"Directed by Paul Sanderson. With Paul Sanderson, Sterling Walbrook, Robert Bennett, Cliff Jenkins. In 1650 an adventurer returns to his castle to take down his deceased wife's portrait, but his long first night back is filled with revelations about her death. At dawn a swordfight with his prospective brother-in-law finally forces him into coming to terms with his loss.",https://m.media-amazon.com/images/M/MV5BZGQxMDNmMzAtOTA2Yi00YWRhLWJkNGItNjk0MjA0YzVlMDU4XkEyXkFqcGdeQXVyNTcxMDA5OQ@@._V1_FMjpg_UX1000_.jpg,imdb_dataset\Romance\0.jpg,Romance,0
tt0337692,On the Road,"Directed by Walter Salles. With Sam Riley, Garrett Hedlund, Kristen Stewart, Amy Adams. Young writer Sal Paradise has his life shaken by the arrival of free-spirited Dean Moriarty and his girl, Marylou. As they travel across the country, they encounter a mix of people who each impact their journey indelibly.",https://m.media-amazon.com/images/M/MV5BMTc1MzU5MDgzMF5BMl5BanBnXkFtZTcwMDQ4ODY2OA@@._V1_FMjpg_UX1000_.jpg,imdb_dataset\Romance\1.jpg,Romance,0
tt0365545,Nappily Ever After,"Directed by Haifaa Al-Mansour. With Sanaa Lathan, Ricky Whittle, Lyriq Bent, Lynn Whitfield. Violet Jones tired of waiting for her longtime boyfriend to propose, breaks up with him. But old feelings, and heaps of jealousy, no doubt, arise when he promptly begins dating another woman.",https://m.media-amazon.com/images/M/MV5BMzIzMWY0Y2YtMWM4My00MjZlLWI4YjAtMjNjMzE5YmVjM2M0XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg,imdb_dataset\Romance\2.jpg,Romance,0
tt0393049,Anderson's Cross,"Directed by Jerome Elston Scott. With Michael Warren, Joanna Cassidy, Joyce Guy, Bill Moseley. Nick Anderson, Kevin Daniels, and Tracey Green do everything together. They are the best of friends, and yet they couldn't be more different. Neighbors from adolescence, they finish each other's thoughts and sentences, joys and pains, happiness and tears. Using Nick's house as their own members only clubhouse, they escape into their own world of contentment. Yet the inevitable intrusion of others tests their stability in ways never imagined.",https://m.media-amazon.com/images/M/MV5BOTcwOTIyNTEzMF5BMl5BanBnXkFtZTgwMDE0MTM2NzE@._V1_FMjpg_UX1000_.jpg,imdb_dataset\Romance\3.jpg,Romance,0
tt0435651,The Giver,"Directed by Phillip Noyce. With Jeff Bridges, Meryl Streep, Brenton Thwaites, Alexander Skarsgård. In a seemingly perfect community, without war, pain, suffering, differences or choice, a young boy is chosen to learn from an elderly man about the true pain and pleasure of the ""real"" world.",https://m.media-amazon.com/images/M/MV5BMTY1MTIxMjg2Ml5BMl5BanBnXkFtZTgwMjUyNzgwMjE@._V1_FMjpg_UX1000_.jpg,imdb_dataset\Romance\4.jpg,Romance,0
tt0437462,"Cargo, les hommes perdus.","Directed by Léon Desclozeaux. With Aurélien Recoing, Sukanya Kongkawong, David La Haye, Alain Moussay.",https://m.media-amazon.com/images/M/MV5BZTA3YzAzNWYtYzkwMC00YWEzLTg4MzQtMWFlMTJjMjNiM2U2XkEyXkFqcGdeQXVyMzM3MjEzMg@@._V1_FMjpg_UX1000_.jpg,imdb_dataset\Romance\5.jpg,Romance,0
tt0443331,Milenge Milenge,"Directed by Satish Kaushik. With Kareena Kapoor, Shahid Kapoor, Aarti Chhabria, Delnaaz Irani. Hoping that destiny will re-unite them, a couple, on the verge of getting married, attempt to locate each other.",https://m.media-amazon.com/images/M/MV5BNDU2MjM5NzAzMl5BMl5BanBnXkFtZTcwNzM2MjE5Mw@@._V1_FMjpg_UX1000_.jpg,imdb_dataset\Romance\6.jpg,Romance,0
tt0443465,Before We Go,"Directed by Chris Evans. With Chris Evans, Alice Eve, Emma Fitzpatrick, John Cullum. Two strangers stuck in Manhattan for the night grow into each other's most trusted confidants when an evening of unexpected adventure forces them to confront their fears and take control of their lives.",https://m.media-amazon.com/images/M/MV5BOTMxNzE0NjY4NV5BMl5BanBnXkFtZTgwMjIxNjIzNjE@._V1_FMjpg_UX1000_.jpg,imdb_dataset\Romance\7.jpg,Romance,0
tt0443533,The History of Love,"Directed by Radu Mihaileanu. With Gemma Arterton, Derek Jacobi, Sophie Nélisse, Elliott Gould. The story of a long-lost book that mysteriously reappears and connects an old man searching for his son with a girl seeking a cure for her mother's loneliness.",https://m.media-amazon.com/images/M/MV5BOGE3YmNmY2ItYmZhZS00ODI1LWIyMWUtZTdlMmY1MTdmNGU5XkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_FMjpg_UX1000_.jpg,imdb_dataset\Romance\8.jpg,Romance,0
tt0446792,Surviving in L.A.,"Directed by Abbi Lake O'Neill. With Abbi Lake O'Neill, Jay Huguley, Robert Walden, Ken Kercheval. Kate McCarthy, a former teen sitcom star who trashed her life through drug abuse, is forced to live, fresh out of rehab, on the one remaining piece of property, her business manager, Charlie has kept out of foreclosure - a run-down apartment building in east L.A. With her one remaining trendy friend, Claire, who's still an addict and trapped in a loveless marriage, they are both contemptuous of her new tenants. Walter, is a failed screenwriter, Suzanne, is a nurse trying to keep her teenage son, Jerome away from gangs, Carlos, is an overachieving physics major, Sam is a homeless man living on her front lawn and Mark, her divorced building manager, is getting his veterinarian degree from UCLA. Kate is in total isolation until her dog is wounded during a random drive by shooting. It's then that Mark jumps into action and with grudging support and brutal honesty helps Kate to get back on her feet.",https://m.media-amazon.com/images/M/MV5BODg3MDg1Mzg3OF5BMl5BanBnXkFtZTcwODQ0OTExOQ@@._V1_FMjpg_UX1000_.jpg,imdb_dataset\Romance\9.jpg,Romance,0
tt0448022,A Bird of the Air,"Directed by Margaret Whitton. With Rachel Nichols, Jackson Hurst, Anjanette Comer, Linda Emond. A man in search of his past, and a woman who lives in the moment, are brought together when they pursue the origins of a stray parrot in this comedic and romantic drama.",https://m.media-amazon.com/images/M/MV5BMTMzODYwMzYzNl5BMl5BanBnXkFtZTcwNjc4OTg2Nw@@._V1_FMjpg_UX1000_.jpg,imdb_dataset\Romance\10.jpg,Romance,0
tt0452183,Blunt Movie,"Directed by Jason Bunch. With Angie Everhart, Dennis Rodman, Pat Morita, Michael Winslow. Sketch comedy in the tradition of ""Kentucky Fried Movie"". Several TV commercial and movie parodies, sex, politics and crazy-humor sketches.",https://m.media-amazon.com/images/M/MV5BMTg2MTYzNDYwNF5BMl5BanBnXkFtZTcwMzQzODc0OQ@@._V1_FMjpg_UX1000_.jpg,imdb_dataset\Romance\11.jpg,Romance,0
tt0480687,Hall Pass,"Directed by Bobby Farrelly, Peter Farrelly. With Owen Wilson, Jason Sudeikis, Jenna Fischer, Christina Applegate. Rick and Fred, two husbands who are having difficulty in their marriages, are given a Hall Pass by their wives",https://m.media-amazon.com/images/M/MV5BMTc4MzIxNTYwNl5BMl5BanBnXkFtZTcwNzE4MjE0NA@@._V1_FMjpg_UX1000_.jpg,imdb_dataset\Romance\12.jpg,Romance,0
tt0482459,Bandage,"Directed by Takeshi Kobayashi. With Jin Akanishi, Kie Kitano, Kengo Kôra, Ayumi Ito. Four boys have their friendship and musical talents tested in the ever changing worlds of the music industry and real life in 1990s Japan.",https://m.media-amazon.com/images/M/MV5BZThkNGYwNjItMDkxZS00OTQ3LTg5ZDUtZDNkNTRiODBlOWE3XkEyXkFqcGdeQXVyMzE4MDkyNTA@._V1_FMjpg_UX1000_.jpg,imdb_dataset\Romance\13.jpg,Romance,0
tt0482461,Barry Munday,"Directed by Chris D'Arienzo. With Patrick Wilson, Judy Greer, Chloë Sevigny, Jean Smart. Barry Munday wakes up after being attacked to realize that he's missing his family jewels. To make matters worse, he learns he's facing a paternity lawsuit filed by a woman he can't remember having sex with.",https://m.media-amazon.com/images/M/MV5BMTUzNTc4Nzg4N15BMl5BanBnXkFtZTcwMTM5NTE3Mw@@._V1_FMjpg_UX1000_.jpg,imdb_dataset\Romance\14.jpg,Romance,0
tt0491152,Something Borrowed,"Directed by Luke Greenfield. With Ginnifer Goodwin, Kate Hudson, Colin Egglesfield, John Krasinski. Friendships are tested and secrets come to the surface when terminally single Rachel falls for Dex, her best friend Darcy's fiancé.",https://m.media-amazon.com/images/M/MV5BNzczNzMzODk0Nl5BMl5BanBnXkFtZTcwMjgwMjI0NA@@._V1_FMjpg_UX1000_.jpg,imdb_dataset\Romance\15.jpg,Romance,0
tt0491203,Tulip Fever,"Directed by Justin Chadwick. With Alicia Vikander, Dane DeHaan, Jack O'Connell, Holliday Grainger. An artist falls for a young married woman while he's commissioned to paint her portrait during the Tulip mania of seventeenth century Amsterdam.",https://m.media-amazon.com/images/M/MV5BZDY3MTAyNmEtZDY1Yi00NGY5LTg1ZDctNDQ2N2FlMmRlYWU0XkEyXkFqcGdeQXVyNTQzOTc3MTI@._V1_FMjpg_UX1000_.jpg,imdb_dataset\Romance\16.jpg,Romance,0
tt0495024,Bad Blood,"Directed by Conrad Janis. With Piper Laurie, Conrad Janis, Bret Anthony, Cori Bright. 9 college students on road trip get waylaid and wind up in deep trouble.",https://m.media-amazon.com/images/M/MV5BOTUwMDU4NzcwMF5BMl5BanBnXkFtZTcwOTYxOTEzMQ@@._V1_FMjpg_UX1000_.jpg,imdb_dataset\Romance\17.jpg,Romance,0
tt0758752,Love & Other Drugs,"Directed by Edward Zwick. With Jake Gyllenhaal, Anne Hathaway, Oliver Platt, Hank Azaria. In 1990s Pittsburgh, a medicine peddler starts a relationship with a young woman suffering from Parkinson's disease.",https://m.media-amazon.com/images/M/MV5BMTgxOTczODEyMF5BMl5BanBnXkFtZTcwMDc0NDY4Mw@@._V1_FMjpg_UX1000_.jpg,imdb_dataset\Romance\19.jpg,Romance,0
tt0762138,Syrup,"Directed by Aram Rappaport. With Juan Luis Acevedo, Kirstie Alley, Jolene Andersen, Max Barry. A slacker hatches a million-dollar idea. But, in order to see it through, he has to learn to trust his attractive corporate counterpart. Based on Max Barry's novel.",https://m.media-amazon.com/images/M/MV5BMjA3NzYzMDI1MF5BMl5BanBnXkFtZTcwMDE1NTI0OQ@@._V1_FMjpg_UX1000_.jpg,imdb_dataset\Romance\20.jpg,Romance,0
tt0770703,What's Your Number?,"Directed by Mark Mylod. With Anna Faris, Chris Evans, Ari Graynor, Blythe Danner. A woman looks back at the past nineteen men she's had relationships with in her life and wonders if one of them might be her one true love.",https://m.media-amazon.com/images/M/MV5BMjIzNTc2MTgwNV5BMl5BanBnXkFtZTcwMzYzMzgxNQ@@._V1_FMjpg_UX1000_.jpg,imdb_dataset\Romance\21.jpg,Romance,0
tt0770819,She's Out of His Mind,"Directed by Emmett Loverde. With Bill Mendieta, Tom Schanley, Jennifer Siebel Newsom, Genevieve Zweig. A young man learns to let go of worn-out dreams in order to make room for new love.",https://m.media-amazon.com/images/M/MV5BMTczMjEwODUxM15BMl5BanBnXkFtZTcwNTkzNDk3Nw@@._V1_FMjpg_UX1000_.jpg,imdb_dataset\Romance\22.jpg,Romance,0
